pyramid_group,subitem,sex,age_band,g_per_capita_per_day,source_note
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,6-9,1.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,6-9,29.865671641791042,split from RTU011 combined meat figure (87.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,6-9,57.13432835820895,split from RTU011 combined meat figure (87.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,6-9,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,10-13,62.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,10-13,150.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,10-13,102.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,10-13,101.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,10-13,387.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,10-13,11.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,10-13,20.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,10-13,14.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,10-13,304.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,10-13,174.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,10-13,4.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,10-13,37.76119402985074,split from RTU011 combined meat figure (110.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,10-13,72.23880597014924,split from RTU011 combined meat figure (110.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,10-13,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,14-17,77.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,14-17,162.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,14-17,141.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,14-17,94.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,14-17,390.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,14-17,12.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,14-17,13.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,14-17,18.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,14-17,366.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,14-17,197.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,14-17,1.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,14-17,44.62686567164179,split from RTU011 combined meat figure (130.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,14-17,85.37313432835819,split from RTU011 combined meat figure (130.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,14-17,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,18-24,77.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,18-24,140.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,18-24,126.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,18-24,138.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,18-24,399.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,18-24,15.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,18-24,32.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,18-24,22.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,18-24,254.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,18-24,158.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,18-24,5.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,18-24,53.8955223880597,split from RTU011 combined meat figure (157.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,18-24,103.10447761194028,split from RTU011 combined meat figure (157.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,18-24,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,25-29,72.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,25-29,113.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,25-29,112.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,25-29,155.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,25-29,281.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,25-29,23.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,25-29,26.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,25-29,23.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,25-29,226.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,25-29,130.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,25-29,4.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,25-29,56.298507462686565,split from RTU011 combined meat figure (164.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,25-29,107.70149253731341,split from RTU011 combined meat figure (164.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,25-29,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,30-34,61.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,30-34,115.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,30-34,122.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,30-34,153.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,30-34,318.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,30-34,18.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,30-34,23.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,30-34,17.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,30-34,215.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,30-34,208.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,30-34,4.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,30-34,49.43283582089552,split from RTU011 combined meat figure (144.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,30-34,94.56716417910447,split from RTU011 combined meat figure (144.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,30-34,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,35-39,94.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,35-39,173.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,35-39,109.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,35-39,166.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,35-39,387.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,35-39,24.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,35-39,29.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,35-39,25.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,35-39,227.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,35-39,201.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,35-39,3.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,35-39,51.83582089552239,split from RTU011 combined meat figure (151.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,35-39,99.1641791044776,split from RTU011 combined meat figure (151.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,35-39,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,40-44,89.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,40-44,109.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,40-44,119.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,40-44,132.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,40-44,260.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,40-44,33.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,40-44,22.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,40-44,21.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,40-44,161.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,40-44,223.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,40-44,3.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,40-44,50.80597014925373,split from RTU011 combined meat figure (148.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,40-44,97.19402985074625,split from RTU011 combined meat figure (148.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,40-44,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,45-49,105.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,45-49,130.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,45-49,129.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,45-49,157.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,45-49,291.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,45-49,29.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,45-49,21.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,45-49,23.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,45-49,141.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,45-49,159.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,45-49,5.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,45-49,41.88059701492537,split from RTU011 combined meat figure (122.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,45-49,80.11940298507461,split from RTU011 combined meat figure (122.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,45-49,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,50-54,97.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,50-54,107.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,50-54,136.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,50-54,158.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,50-54,321.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,50-54,44.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,50-54,28.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,50-54,23.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,50-54,150.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,50-54,266.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,50-54,6.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,50-54,46.6865671641791,split from RTU011 combined meat figure (136.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,50-54,89.31343283582088,split from RTU011 combined meat figure (136.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,50-54,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,55-59,106.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,55-59,115.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,55-59,113.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,55-59,164.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,55-59,223.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,55-59,36.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,55-59,30.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,55-59,21.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,55-59,129.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,55-59,169.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,55-59,3.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,55-59,39.82089552238806,split from RTU011 combined meat figure (116.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,55-59,76.17910447761193,split from RTU011 combined meat figure (116.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,55-59,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,60-64,116.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,60-64,118.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,60-64,143.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,60-64,153.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,60-64,249.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,60-64,35.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,60-64,17.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,60-64,21.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,60-64,97.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,60-64,192.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,60-64,2.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,60-64,50.46268656716418,split from RTU011 combined meat figure (147.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,60-64,96.5373134328358,split from RTU011 combined meat figure (147.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,60-64,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,65-69,111.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,65-69,115.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,65-69,136.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,65-69,140.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,65-69,333.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,65-69,42.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,65-69,17.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,65-69,23.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,65-69,100.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,65-69,179.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,65-69,0.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,65-69,45.656716417910445,split from RTU011 combined meat figure (133.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,65-69,87.34328358208954,split from RTU011 combined meat figure (133.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,65-69,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,70-74,111.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,70-74,151.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,70-74,116.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,70-74,127.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,70-74,285.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,70-74,36.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,70-74,25.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,70-74,23.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,70-74,123.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,70-74,159.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,70-74,1.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,70-74,43.940298507462686,split from RTU011 combined meat figure (128.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,70-74,84.0597014925373,split from RTU011 combined meat figure (128.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,70-74,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,2-5,36.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,2-5,150.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,2-5,66.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,2-5,89.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,2-5,356.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,2-5,8.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,2-5,12.0,direct from RTU011 '..muna ja munatooted'
